txn_id,timestamp,user_id,merchant_id,amount,status,utr_status,is_disputed
TXN00009678,2026-03-06 07:59:54,USR64256,MCH3235,1728.09,SUCCESS,MISSING,False
TXN00008536,2026-01-30 07:20:31,USR90160,MCH8495,8104.15,SUCCESS,MISSING,False
TXN00019886,2026-02-27 11:51:21,USR63295,MCH8082,13247.83,SUCCESS,MISSING,False
TXN00003161,2026-03-23 00:00:00,USR25738,MCH5735,11103.55,FAILED,MISSING,False
TXN00007710,2026-03-22 19:06:47,USR26757,MCH2527,21021.22,SUCCESS,MISSING,False
TXN00000530,2026-03-30 04:09:50,USR70377,MCH5425,21619.0,SUCCESS,MISSING,False
TXN00001642,2026-01-28 22:13:49,USR76561,MCH8265,21052.41,SUCCESS,MISSING,False
TXN00010794,2026-03-27 19:49:13,USR20726,MCH8708,3276.15,SUCCESS,MISSING,False
TXN00011250,2026-01-22 14:07:52,USR13692,MCH2616,21306.83,SUCCESS,MISSING,False
TXN00000045,2026-02-03 00:50:28,USR81314,MCH2213,6476.91,SUCCESS,MISSING,True
TXN00001192,2026-02-23 17:25:11,USR10832,MCH1114,14558.44,SUCCESS,MISSING,False
TXN00014316,2026-02-13 18:45:25,USR19656,MCH2337,17984.52,SUCCESS,MISSING,True
TXN00019767,2026-02-10 14:21:14,USR82139,MCH4060,9869.87,SUCCESS,MISSING,False
TXN00006392,2026-01-17 04:37:21,USR68632,MCH1830,10347.5,SUCCESS,MISSING,False
TXN00001041,2026-02-05 23:29:33,USR12553,MCH6735,13491.89,SUCCESS,MISSING,True
TXN00014601,2026-01-22 14:19:55,USR61745,MCH7179,3906.6,SUCCESS,MISSING,True
TXN00008081,2026-01-14 05:36:11,USR36516,MCH8436,7851.42,SUCCESS,MISSING,False
TXN00010671,2026-03-14 13:18:15,USR10082,MCH3237,22723.1,SUCCESS,MISSING,False
TXN00011019,2026-02-13 03:06:30,USR32308,MCH9054,9952.99,SUCCESS,MISSING,False
TXN00018018,2026-01-05 20:16:48,USR61252,MCH8736,22233.36,SUCCESS,MISSING,False
TXN00006006,2026-01-24 07:56:39,USR32111,MCH7861,24058.83,SUCCESS,MISSING,False
TXN00014424,2026-02-10 22:35:31,USR88019,MCH3825,2495.55,SUCCESS,MISSING,False
TXN00004511,2026-03-15 21:23:25,USR66362,MCH9969,4368.49,SUCCESS,MISSING,False
TXN00011860,2026-02-26 17:34:43,USR68520,MCH1218,18955.65,FAILED,MISSING,False
TXN00019196,2026-03-05 00:00:00,USR23438,MCH1618,24484.6,SUCCESS,MISSING,False
TXN00000414,2026-03-13 10:23:30,USR58404,MCH7447,14340.21,SUCCESS,MISSING,True
TXN00019590,2026-01-09 05:52:12,USR20312,MCH5368,18842.1,SUCCESS,MISSING,False
TXN00001091,2026-03-06 20:59:31,USR19697,MCH7696,23568.87,SUCCESS,MISSING,False
TXN00014501,2026-02-01 11:48:00,USR33493,MCH7889,18716.49,SUCCESS,MISSING,False
TXN00011283,2026-01-12 13:06:31,USR63686,MCH4083,24145.13,SUCCESS,MISSING,False
TXN00016425,2026-02-11 12:02:16,USR29089,MCH6452,13039.65,PENDING,MISSING,False
TXN00019791,2026-01-20 20:25:50,USR38197,MCH9479,2901.68,SUCCESS,MISSING,True
TXN00005174,2026-01-11 06:12:01,USR86108,MCH8892,870.44,SUCCESS,MISSING,True
TXN00017507,2026-02-27 09:31:42,USR96330,MCH1176,12643.49,SUCCESS,MISSING,False
TXN00009557,2026-02-08 01:13:56,USR34690,MCH6295,2681.93,SUCCESS,MISSING,False
TXN00000128,2026-01-23 05:43:14,USR45756,MCH9425,21520.0,SUCCESS,MISSING,False
TXN00002216,2026-01-17 16:29:36,USR36317,MCH2005,7625.73,FAILED,MISSING,True
TXN00016994,2026-01-31 17:17:01,USR13790,MCH4190,2331.86,SUCCESS,MISSING,False
TXN00018738,2026-03-21 06:18:09,USR99510,MCH3724,6937.85,SUCCESS,MISSING,True
TXN00002256,2026-03-04 15:59:28,USR61290,MCH7939,14298.59,SUCCESS,MISSING,False
TXN00011023,2026-02-12 23:06:35,USR46298,MCH6233,22672.75,SUCCESS,MISSING,False
TXN00013517,2026-03-12 18:27:26,USR72202,MCH5084,11680.12,FAILED,MISSING,False
TXN00004603,2026-03-29 09:30:49,USR21327,MCH9646,22732.22,SUCCESS,MISSING,False
TXN00013042,2026-01-26 14:27:03,USR90938,MCH8960,16031.58,SUCCESS,MISSING,True
TXN00009081,2026-02-23 01:13:15,USR91045,MCH3584,8455.87,SUCCESS,MISSING,False
TXN00003592,2026-03-16 08:30:28,USR98035,MCH2132,4395.54,SUCCESS,MISSING,False
TXN00008828,2026-01-04 20:37:47,USR92221,MCH7930,8231.85,FAILED,MISSING,False
TXN00009004,2026-03-28 04:13:38,USR84828,MCH3602,10906.85,SUCCESS,MISSING,False
TXN00011630,2026-03-09 13:42:02,USR63605,MCH9154,10465.04,SUCCESS,MISSING,False
TXN00017035,2026-03-29 01:21:26,USR78654,MCH8110,12092.84,SUCCESS,MISSING,False
TXN00008538,2026-01-30 03:49:43,USR18442,MCH6676,22190.2,SUCCESS,MISSING,True
TXN00018063,2026-02-12 07:31:31,USR92572,MCH8207,21731.0,SUCCESS,MISSING,False
TXN00000695,2026-03-31 09:33:05,USR42118,MCH2536,2879.77,SUCCESS,MISSING,False
TXN00009640,2026-03-21 09:02:10,USR28003,MCH7804,550.46,SUCCESS,MISSING,False
TXN00007752,2026-03-17 15:03:29,USR77378,MCH3022,17206.06,SUCCESS,MISSING,False
TXN00019335,2026-01-08 04:38:19,USR58226,MCH5935,17211.95,FAILED,MISSING,False
TXN00001584,2026-01-28 21:38:29,USR36978,MCH2608,12424.2,SUCCESS,MISSING,False
TXN00009069,2026-03-22 13:47:31,USR46746,MCH4123,772.11,SUCCESS,MISSING,False
TXN00014202,2026-01-07 16:13:45,USR17273,MCH1368,22209.26,SUCCESS,MISSING,False
TXN00019285,2026-02-05 21:05:30,USR69897,MCH7362,17834.0,SUCCESS,MISSING,False
TXN00010546,2026-02-15 17:29:12,USR92234,MCH1669,10242.67,SUCCESS,MISSING,False
TXN00008281,2026-03-08 14:22:00,USR34370,MCH6716,8395.57,SUCCESS,MISSING,False
TXN00002501,2026-02-14 19:47:32,USR68632,MCH7316,20690.0,SUCCESS,MISSING,False
TXN00003485,2026-01-12 09:35:54,USR81235,MCH5694,14583.94,SUCCESS,MISSING,True
TXN00006711,2026-01-28 18:15:37,USR41854,MCH7728,2472.69,SUCCESS,MISSING,False
TXN00014864,2026-02-25 01:25:13,USR48027,MCH2316,17258.37,SUCCESS,MISSING,False
TXN00005904,2026-02-23 12:42:02,USR94157,MCH7090,9401.77,SUCCESS,MISSING,True
TXN00010163,2026-02-17 17:47:41,USR72149,MCH4078,11863.4,PENDING,MISSING,False
TXN00016932,2026-02-10 18:01:22,USR94935,MCH8111,7880.36,FAILED,MISSING,False
TXN00017283,2026-03-30 14:47:22,USR18052,MCH6546,9799.78,SUCCESS,MISSING,False
TXN00012166,2026-03-20 00:00:00,USR62618,MCH4484,15354.64,SUCCESS,MISSING,False
TXN00010591,2026-03-01 08:57:49,USR78024,MCH2418,19421.44,SUCCESS,MISSING,False
TXN00006485,2026-02-01 03:07:51,USR40988,MCH2806,4879.06,SUCCESS,MISSING,False
TXN00011307,2026-03-24 03:00:00,USR44510,MCH2111,23856.92,SUCCESS,MISSING,True
TXN00009068,2026-02-15 00:00:00,USR37344,MCH7472,12630.65,FAILED,MISSING,True
TXN00001746,2026-02-16 18:47:12,USR91500,MCH7418,12038.79,PENDING,MISSING,False
TXN00008712,2026-01-17 10:23:36,USR10143,MCH6078,7244.55,SUCCESS,MISSING,False
TXN00007387,2026-02-19 14:15:42,USR68188,MCH8260,2377.53,SUCCESS,MISSING,False
TXN00006811,2026-03-13 08:51:33,USR70338,MCH4541,19352.14,SUCCESS,MISSING,False
TXN00016442,2026-02-28 10:09:47,USR11047,MCH5721,6377.89,SUCCESS,MISSING,False
TXN00014800,2026-01-17 02:23:49,USR26719,MCH7625,18266.7,SUCCESS,MISSING,False
TXN00000819,2026-02-24 06:23:25,USR94390,MCH8434,1378.49,SUCCESS,MISSING,False
TXN00011786,2026-01-31 03:36:43,USR40814,MCH7496,21771.55,PENDING,MISSING,False
TXN00010679,2026-03-10 06:25:22,USR23346,MCH6236,4713.12,SUCCESS,MISSING,False
TXN00007657,2026-02-19 03:37:12,USR89121,MCH9988,17910.97,SUCCESS,MISSING,False
TXN00007929,2026-02-19 13:25:19,USR45101,MCH9702,19315.34,FAILED,MISSING,False
TXN00001152,2026-01-27 07:16:51,USR47047,MCH3798,20926.96,FAILED,MISSING,True
TXN00011294,2026-01-13 00:27:35,USR27743,MCH8459,18270.37,SUCCESS,MISSING,False
TXN00014584,2026-01-23 05:37:55,USR89128,MCH8146,10479.33,SUCCESS,MISSING,True
TXN00019025,2026-02-22 07:53:06,USR27836,MCH9593,8652.2,SUCCESS,MISSING,False
TXN00011282,2026-02-15 13:02:27,USR49270,MCH6664,6140.31,SUCCESS,MISSING,False
TXN00017366,2026-03-14 08:25:44,USR30949,MCH4626,24167.15,SUCCESS,MISSING,False
TXN00015274,2026-01-10 21:33:20,USR63873,MCH1825,18810.25,SUCCESS,MISSING,False
TXN00002990,2026-02-25 13:10:34,USR62502,MCH9970,21567.39,SUCCESS,MISSING,False
TXN00004820,2026-01-14 13:49:40,USR35056,MCH7697,4988.5,SUCCESS,MISSING,False
TXN00006359,2026-03-24 17:18:03,USR16145,MCH7952,23625.98,SUCCESS,MISSING,False
TXN00019607,2026-01-10 06:39:47,USR51203,MCH1961,22410.15,SUCCESS,MISSING,False
TXN00012023,2026-02-27 16:09:28,USR74378,MCH5878,21374.37,SUCCESS,MISSING,False
TXN00012641,2026-03-02 10:59:18,USR65827,MCH7748,10106.71,SUCCESS,MISSING,False
TXN00016459,2026-02-22 01:27:56,USR44167,MCH7334,6152.64,SUCCESS,MISSING,False
TXN00011733,2026-03-03 22:28:34,USR51754,MCH9539,7676.0,SUCCESS,MISSING,False
TXN00006093,2026-03-26 02:50:34,USR29207,MCH5344,8474.94,SUCCESS,MISSING,False
TXN00017650,2026-02-04 06:34:19,USR50681,MCH3172,24871.3,SUCCESS,MISSING,False
TXN00005373,2026-02-04 10:45:16,USR18410,MCH4387,10800.86,SUCCESS,MISSING,False
TXN00011098,2026-02-10 12:02:44,USR24952,MCH8046,20658.47,SUCCESS,MISSING,False
TXN00013885,2026-02-11 00:00:00,USR49466,MCH5724,6345.0,SUCCESS,MISSING,False
TXN00001935,2026-02-13 21:14:56,USR53488,MCH8516,16914.93,SUCCESS,MISSING,False
TXN00012617,2026-03-01 08:53:14,USR79070,MCH4045,2051.78,SUCCESS,MISSING,False
TXN00018726,2026-03-30 13:13:43,USR12863,MCH3625,7202.98,FAILED,MISSING,False
TXN00005416,2026-03-01 15:02:15,USR48091,MCH5283,9663.33,SUCCESS,MISSING,False
TXN00013137,2026-02-19 00:11:06,USR44377,MCH5743,23446.05,SUCCESS,MISSING,False
TXN00015391,2026-03-05 00:00:00,USR77708,MCH8972,3748.45,FAILED,MISSING,False
TXN00011893,2026-03-18 03:29:20,USR47877,MCH3674,3107.24,SUCCESS,MISSING,False
TXN00016656,2026-01-20 14:03:19,USR65099,MCH1080,12790.96,SUCCESS,MISSING,False
TXN00008547,2026-03-21 20:11:06,USR54146,MCH9219,20078.11,FAILED,MISSING,False
TXN00016833,2026-01-06 12:57:22,USR16389,MCH2884,14338.69,SUCCESS,MISSING,False
TXN00003436,2026-03-29 02:15:40,USR77729,MCH9906,9736.87,SUCCESS,MISSING,False
TXN00017922,2026-01-22 09:13:57,USR50418,MCH3088,23524.51,SUCCESS,MISSING,False
TXN00004264,2026-02-16 12:41:52,USR74469,MCH1614,9688.0,SUCCESS,MISSING,False
TXN00015189,2026-03-20 15:55:35,USR13067,MCH7892,5360.76,SUCCESS,MISSING,True
TXN00002520,2026-03-26 20:50:24,USR35838,MCH1070,18070.45,SUCCESS,MISSING,False
TXN00015573,2026-01-10 14:50:27,USR87527,MCH2736,21959.61,SUCCESS,MISSING,False
TXN00008826,2026-03-11 04:10:24,USR98228,MCH1710,7552.85,SUCCESS,MISSING,True
TXN00014895,2026-01-03 21:07:41,USR98902,MCH5905,1896.19,SUCCESS,MISSING,False
TXN00016162,2026-01-09 01:58:39,USR21590,MCH4648,15045.73,FAILED,MISSING,False
TXN00010342,2026-03-21 16:27:39,USR87864,MCH7792,14145.47,FAILED,MISSING,False
TXN00002260,2026-01-10 23:33:06,USR76269,MCH2083,10870.55,SUCCESS,MISSING,False
TXN00017804,2026-02-18 01:50:00,USR94887,MCH7496,5666.19,SUCCESS,MISSING,False
TXN00006900,2026-01-12 00:10:50,USR75084,MCH2292,10550.14,SUCCESS,MISSING,False
TXN00016997,2026-03-07 10:24:23,USR54125,MCH9011,13406.05,SUCCESS,MISSING,False
TXN00007132,2026-03-11 03:32:39,USR44431,MCH3492,11527.11,SUCCESS,MISSING,False
TXN00018775,2026-01-18 21:44:44,USR77313,MCH3306,7811.46,SUCCESS,MISSING,False
TXN00006986,2026-02-21 00:00:00,USR98744,MCH2650,7587.17,SUCCESS,MISSING,False
TXN00015522,2026-01-25 00:42:41,USR60957,MCH2264,24743.18,SUCCESS,MISSING,False
TXN00011812,2026-03-17 22:44:12,USR15325,MCH6806,23522.18,SUCCESS,MISSING,False
TXN00010324,2026-02-17 11:12:26,USR90181,MCH1806,725.49,SUCCESS,MISSING,False
TXN00008013,2026-03-05 13:52:14,USR65199,MCH4443,15920.96,SUCCESS,MISSING,False
TXN00002317,2026-03-25 00:58:40,USR60600,MCH6198,6875.54,SUCCESS,MISSING,False
TXN00019330,2026-03-03 05:27:37,USR99534,MCH7255,7167.05,FAILED,MISSING,False
TXN00010681,2026-01-18 22:57:17,USR88176,MCH5420,11903.41,SUCCESS,MISSING,False
TXN00005252,2026-01-08 06:43:58,USR51005,MCH7499,24167.99,PENDING,MISSING,False
TXN00001908,2026-01-03 12:04:19,USR63364,MCH2816,9204.84,SUCCESS,MISSING,False
TXN00009444,2026-02-13 02:04:06,USR84537,MCH4202,9503.71,SUCCESS,MISSING,True
TXN00017611,2026-01-17 12:55:03,USR47882,MCH5500,1142.83,SUCCESS,MISSING,False
TXN00009158,2026-03-02 10:40:14,USR30502,MCH8621,15127.7,FAILED,MISSING,False
TXN00015120,2026-02-06 21:55:07,USR78508,MCH5743,14928.13,SUCCESS,MISSING,False
TXN00009139,2026-01-15 00:57:34,USR13930,MCH3853,12037.04,SUCCESS,MISSING,True
TXN00001252,2026-03-02 07:05:54,USR68564,MCH9472,12043.24,SUCCESS,MISSING,False
TXN00014725,2026-02-09 16:32:38,USR17031,MCH2147,22888.76,SUCCESS,MISSING,False
TXN00015512,2026-01-16 22:14:53,USR66735,MCH3636,19455.36,SUCCESS,MISSING,False
TXN00001793,2026-02-24 12:10:26,USR84725,MCH5092,12810.0,SUCCESS,MISSING,False
TXN00000702,2026-03-11 21:08:56,USR75564,MCH9456,1305.07,SUCCESS,MISSING,False
TXN00001654,2026-01-25 06:46:15,USR74877,MCH5263,9010.0,SUCCESS,MISSING,True
TXN00001705,2026-03-16 12:20:11,USR22950,MCH7201,10993.4,SUCCESS,MISSING,True
TXN00009435,2026-01-17 23:48:33,USR60609,MCH8743,7444.34,SUCCESS,MISSING,False
TXN00017166,2026-02-02 12:48:58,USR99212,MCH5885,24274.89,SUCCESS,MISSING,False
TXN00003510,2026-01-22 04:56:09,USR34483,MCH8873,1569.23,SUCCESS,MISSING,False
